Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Views (co-viewed),Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,YouTube Premium views,YouTube Premium watch time (hours),End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Views,Watch time (hours),Subscribers,Average view duration,Thumbnail impressions,Thumbnail click-through rate (%)
FOkDF9kiidk,donk's ACE vs Dendele on Cache #cs2 #counterstrike #blastopenporto2026,"Aug 29, 2026",33,517,68.08,55,,851,1047,,,,,,0,0,2,0,6,0,100,0,0,227,0.8149,0,0,,0,0,,0,0,,1042,3.3947,2,0:00:22,455,1.76
Hk_G9zVXpC4,JBOEN drops a 4K vs Legacy #cs2 #counterstrike #esportsworldcup2026 #Shorts,"Aug 16, 2026",23,514,79.47,64.74,,725,1017,,,,,,0,0,0,0,9,0,100,1,1,140,0.4231,0,0,,0,0,,0,0,,1013,2.7239,0,0:00:18,507,4.34
7IDst6Rismg,Stop Pushing Dust 2 B Site Without This Smoke #csgo #cs2 #counterstrike #cs2dust2,"Jun 11, 2026",43,508,64.23,37.08,,1144,0,,,,,,0,0,1,0,6,1,85.71,1,0,190,0.5212,0,0,,0,0,,0,0,,1314,4.215,1,0:00:27,54,5.56
YmDBK37oeiY,CT Elbow Smokes for Taking A on Ancient - Part 1  #csgo #cs2 #counterstrike #cs2ancient,"Jun 9, 2026",40,505,41.33,45.98,,943,0,,,,,,0,0,0,0,13,1,92.86,0,0,151,0.3246,0,0,,0,0,,0,0,,1060,2.5198,0,0:00:16,83,2.41
iA4tKX2KZns,Top Donut Smokes to Take Mid Control on Ancient (CAC 2026)  #csgo #cs2 #counterstrike #cs2ancient,"Jun 7, 2026",41,505,38.51,49.07,,875,1,,,,,,0,0,1,0,19,0,100,0,0,174,0.4941,0,0,,0,0,,0,0,,972,2.4025,1,0:00:15,244,2.05
fOnG4DcjuVk,Best Flashes to Defend an A Push on Inferno #csgo #cs2 #counterstrike #cs2inferno,"Jun 5, 2026",61,504,30.28,53.5,,828,0,,,,,,0,0,0,0,8,0,100,0,0,123,0.3984,0,0,,0,0,,0,0,,880,2.7414,0,0:00:18,56,1.79
A9oZYqEguv8,CT Elbow Smokes for Taking A on Ancient - Part 2  #csgo #cs2 #counterstrike #cs2ancient,"Jun 9, 2026",42,503,43.07,38.93,,1146,0,,,,,,0,0,0,0,10,2,83.33,0,0,158,0.3222,0,0,,0,0,,0,0,,1245,2.8092,0,0:00:18,39,2.56
NgIgP063brQ,Pro's Lineups for Smoking B Long on Ancient (CAC 2026) - Part 2 #csgo #counterstrike #cs2ancient,"Jun 8, 2026",39,501,43.68,48.88,,922,0,,,,,,0,0,0,0,14,0,100,0,0,203,0.5892,0,0,,0,0,,0,0,,1010,2.5817,0,0:00:17,116,0.86
63EcDVu7QQ8,Motor Smoke Every Inferno Player Should Know #csgo #cs2 #counterstrike,"Jul 2, 2026",36,498,51.41,44.42,,944,0,,,,,,0,0,0,0,4,0,100,0,0,139,0.4629,0,0,,0,0,,0,0,,1057,2.7719,0,0:00:18,47,2.13
EQu6XAWlEL0,Best Smoke Lineups for B Short on Ancient (CAC2026) - Part 2  #csgo #cs2 #counterstrike #cs2ancient,"Jun 8, 2026",20,494,70.51,34.53,,1215,1,,,,,,0,0,0,0,9,2,81.82,0,0,192,0.3206,0,0,,0,0,,0,0,,1385,2.2653,0,0:00:14,137,2.92
5iGdML99gtI,Pro's Lineups for Smoking B Long on Ancient (CAC 2026) - Part 1 #csgo #counterstrike #cs2ancient,"Jun 8, 2026",42,488,48.95,47.72,,844,2,,,,,,0,0,0,0,17,2,89.47,2,0,171,1.063,0,0,,0,0,,0,0,,968,2.9823,0,0:00:20,158,0.63
Bn9H3JprNyE,Every Dust 2 Mid Doors Smoke the Pros Used During CAC 2026 - Part 1,"Jun 12, 2026",81,487,22.1,60.55,,655,1,,,,,,0,0,0,0,11,0,100,0,0,145,0.4675,0,0,,0,0,,0,0,,762,2.5295,0,0:00:17,550,2.36
2CpmyZLk5sE,karrigan | FURIA vs Falcons | Inferno | IEM Cologne Major 2026 | Input + Utility Overlay,"Jul 8, 2026",1824,466,16.49,,,431,5,,,,,,0,0,1,0,4,0,100,0,1,125,7.9811,0,50,0,0,0,,0,0,,466,38.9387,1,0:05:00,20861,1.46
fd8_q2By-q0,META Red Room Smokes for Taking Mid Control on Ancient (CAC 2026) #csgo #cs2 #counterstrike #cs2anc…,"Jun 10, 2026",83,435,27.1,53.19,,707,0,,,,,,0,0,1,0,11,0,100,1,0,139,0.5047,0,0,,0,0,,0,0,,782,2.8547,1,0:00:22,111,0.9
EQcL7m7jssI,donk's 4K against Liquid on Anubis #cs2 #csgo #counterstrike #cs2anubis #Shorts,"Aug 3, 2026",42,434,57.57,53.98,,693,782,,,,,,0,0,0,0,11,0,100,0,0,140,0.5004,0,0,,0,0,,0,0,,771,3.0418,0,0:00:24,213,0.94
9DlB9sCLwvQ,AZUWU's 4K vs Spirit #cs2 #counterstrike #esportsworldcup2026 #Shorts,"Aug 17, 2026",37,422,64.12,61.61,,614,826,,,,,,0,0,0,0,5,0,100,0,0,121,0.4267,0,0,,0,0,,0,0,,822,2.89,0,0:00:23,364,1.1
OSXdVuOVw_Y,asap | 2.04 Rating | MIBR vs THUNDER dOWNUNDER | Inferno | Swiss round | IEM Cologne Major 2026,"Jun 3, 2026",1539,415,16.63,,,424,616,,,,,,0,0,0,0,6,0,100,2,2,75,6.0239,2,78,2.56,0,0,,0,0,,641,29.6444,0,0:04:15,1402,23.25
a4UwsRsFoo0,Smokes for Bottom Banana on Inferno Part 2 #csgo #cs2 #counterstrike,"Jul 1, 2026",49,412,37.1,56.61,,650,0,,,,,,0,0,0,0,6,0,100,1,1,84,0.3008,0,0,,0,0,,0,0,,690,2.2052,0,0:00:18,59,3.39
4_h35rik8zM,The Arch Smoke Every T Should Learn (IEM Cologne Major 2026) #cs2 #csgo #counterstrike #cs2inferno,"Jul 11, 2026",57,410,32.52,24.82,,1197,1,,,,,,0,0,0,0,3,0,100,0,0,89,0.1769,0,0,,0,0,,0,0,,1180,2.4042,0,0:00:18,136,2.94
